,index,unnamed: 0,num_votes,rating,tconst,title,year,index,unnamed: 0,title,excellent,great,best,hope,love,beautiful,groundbreaking,amazing
0,0,0,1676764,9.3,tt0111161,The Shawshank Redemption,1994,0,0,The Shawshank Redemption,0,0,1,1,0,0,0,0
1,1,1,1147249,9.2,tt0068646,The Godfather,1972,1,1,The Godfather,0,1,1,1,1,1,0,1
2,2,2,784373,9.0,tt0071562,The Godfather: Part II,1974,2,2,The Godfather: Part II,0,1,0,1,1,0,0,1
3,3,3,1662089,9.0,tt0468569,The Dark Knight,2008,3,3,The Dark Knight,0,0,1,1,1,0,0,1
4,4,4,858120,8.9,tt0108052,Schindler's List,1993,4,4,Schindler's List,0,1,0,1,0,0,0,0
5,5,5,443452,8.9,tt0050083,12 Angry Men,1957,5,5,12 Angry Men,0,1,1,0,1,0,0,0
6,6,6,1314301,8.9,tt0110912,Pulp Fiction,1994,6,6,Pulp Fiction,0,1,0,1,0,0,0,0
7,7,7,1206632,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003,7,7,The Lord of the Rings: The Return of the King,0,1,0,1,0,0,0,0
8,8,8,499674,8.9,tt0060196,"The Good, the Bad and the Ugly",1966,8,8,"The Good, the Bad and the Ugly",0,1,1,1,0,1,0,0
9,9,9,1336167,8.9,tt0137523,Fight Club,1999,9,9,Fight Club,0,1,1,0,0,0,0,0
10,10,10,1229948,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,10,10,The Lord of the Rings: The Fellowship of the Ring,0,1,0,1,1,0,0,0
11,11,11,830621,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,11,11,Star Wars: Episode V - The Empire Strikes Back,1,1,0,1,0,0,0,0
12,12,12,1239829,8.8,tt0109830,Forrest Gump,1994,12,12,Forrest Gump,0,1,1,1,0,0,0,0
13,13,13,1455540,8.8,tt1375666,Inception,2010,13,13,Inception,1,1,0,1,1,0,0,0
14,14,14,1092047,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002,14,14,The Lord of the Rings: The Two Towers,1,1,1,0,1,1,0,0
15,15,15,674998,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975,15,15,One Flew Over the Cuckoo's Nest,1,1,0,0,0,0,0,0
16,16,16,722823,8.7,tt0099685,Goodfellas,1990,16,16,Goodfellas,0,0,1,0,0,0,0,0
17,17,17,1208349,8.7,tt0133093,The Matrix,1999,17,17,The Matrix,0,0,1,0,0,0,0,0
18,18,18,227426,8.7,tt0047478,Seven Samurai,1954,18,18,Seven Samurai,1,1,0,0,0,0,0,0
19,19,19,904075,8.7,tt0076759,Star Wars: Episode IV - A New Hope,1977,19,19,Star Wars: Episode IV - A New Hope,0,1,0,0,0,0,0,1
20,20,20,529508,8.7,tt0317248,City of God,2002,20,20,City of God,0,1,0,1,0,0,0,0
21,21,21,1014993,8.6,tt0114369,Se7en,1995,21,21,Se7en,0,0,1,0,0,0,0,0
22,22,22,879784,8.6,tt0102926,The Silence of the Lambs,1991,22,22,The Silence of the Lambs,1,1,0,0,0,1,0,1
23,23,23,273695,8.6,tt0038650,It's a Wonderful Life,1946,23,23,It's a Wonderful Life,0,0,0,0,1,0,0,0
24,24,24,735234,8.6,tt0114814,The Usual Suspects,1995,24,24,The Usual Suspects,0,1,0,0,1,0,0,1
